35,64,"1981-09-10","1981-09-05","Dale Griffin","Mike Robinson","","Maida Vale 4"
36,65,"1988-11-07","1988-10-30","Dale Griffin","Mike Engles","","The Hippodrome, Golders Green, London"
36,66,"1989-09-06","1989-08-06","Dale Griffin","Paul Allen","","Maida Vale 5"
36,67,"1995-07-08","0000-00-00","Unknown","Unknown","","Unknown"
37,68,"1991-02-03","1991-01-13","Dale Griffin","Miti Adhikari","","Maida Vale 3"
38,69,"1987-02-09","1987-01-25","Dale Griffin","Mike Engles","Fred Kay","Unknown"
38,70,"1992-03-13","1992-02-02","Dale Griffin","Mike Engles","Rachel Fisher","Maida Vale 3"
39,71,"1983-10-18","1983-10-12","Roger Pusey","Nick Gomm","","Maida Vale 4"
40,72,"2001-10-18","0000-00-00","Unknown","Unknown","","Maida Vale 4"
41,73,"1986-01-06","1985-12-15","Dale Griffin","Mike Engles","","Maida Vale 5"
41,74,"1986-12-09","1986-11-16","Dale Griffin","Nick Gomm","Fred Kay","Unknown"
41,75,"1988-01-19","1988-01-10","Dale Griffin","Mike Engles","Fred Kay","Unknown"
41,76,"1988-11-30","1988-11-20","Dale Griffin","Mike Engles","","The Hippodrome, Golders Green, London"
42,77,"2001-10-16","2001-09-10","Unknown","Unknown","","Unknown"
44,78,"1987-07-29","1987-07-19","Dale Griffin","Mike Shilling","Miti Athikari","Unknown"
45,79,"1976-06-21","1976-06-03","Tony Wilson","Unknown","","Maida Vale 4"
46,80,"1974-11-12","1974-10-22","Tony Wilson","Bill Aitken","","Maida Vale 4"
46,81,"1975-03-31","1975-03-25","Tony Wilson","Bill Aitken","","Maida Vale 4"
47,82,"0000-00-00","2001-06-24","Mike Engles","","","Maida Vale 4"
47,83,"2002-09-18","2002-08-06","Miti Adhikari","Nick Fountain","","Maida Vale 4"
48,84,"1982-02-22","1982-02-06","Dale Griffin","Mike Robinson","Martin Colley","Maida Vale 4"
48,85,"1982-08-16","1982-08-07","Dale Griffin","Mike Engles","","Maida Vale 4"
49,86,"1992-05-08","1992-03-22","Dale Griffin","Simon Askew","Elizabeth Lewis","Maida Vale 3"
50,87,"1978-01-30","1978-01-23","Tony Wilson","Dave Dade","","Maida Vale 4"
50,88,"1978-07-17","1978-07-10","Tony Wilson","Dave Dade","","Maida Vale 4"
50,89,"1979-04-02","1979-03-26","Tony Wilson","Bill Aitken","Martyn Parker","Maida Vale 4"
51,90,"1990-02-20","1990-02-02","Dale Griffin","Miti Adhikari","","Maida Vale 3"
52,91,"1997-11-26","1997-11-23","Mike Engles","Kevin Rumble","","Maida Vale 4"
52,92,"1998-07-23","1998-07-04","Sam Cunningham","Miti Adhikari","","Royal Festival Hall, London"
52,93,"0000-00-00","1999-11-21","Mike Engles","Kevin Rumble","","Maida Vale 3"
52,94,"0000-00-00","2001-01-31","Simon Askew","George Thomas","","Maida Vale 4"
52,95,"2003-01-14","2002-12-19","Louise Kattenhorn","Simon Askew","","Maida Vale 4"
53,96,"1997-02-20","1997-02-11","Stewart Cruickshank","Dave Kinnaird","","G6 Glasgow"
54,97,"2000-04-14","2000-03-12","Andrew Rogers","Mike Walters","","Garageglasgow"
54,98,"0000-00-00","2000-04-02","Jerry Smith","Jaimie Hart","","Maida Vale 4"
54,99,"2001-11-07","2001-10-07","Mike Engles","Guy Worth","","Maida Vale 4"
54,100,"2002-01-15","2002-01-11","Andy Rogers","","","Groningen Fes"
54,101,"2003-02-19","2003-01-29","Louise Kattenhorn","Simon Askew","","Maida Vale 4"
