24,33,"Sabah Habas Mustapha","Bass, Vocals"
3099,33,"Houzam","Drums, Backing Vocals"
3100,34,"Robby Fay","Bass"
12271,34,"David Pichilingi","Vocals"
5948,34,"Duncan Lomax","Rhythm Guitar, Backing Vocals"
10990,34,"Jamie Southern","Keyboards"
25,34,"Andy Hignett","Drums"
8674,34,"Ian Greenwood","Lead Guitar"
8675,35,"Ian Greenwood","Lead Guitar"
5949,35,"Duncan Lomax","Rhythm Guitar, Backing Vocals"
12272,35,"David Pichilingi","Vocals"
3101,35,"Robby Fay","Bass"
26,35,"Alan Curry","Drums"
10991,35,"Jamie Southern","Keyboards"
10992,36,"Phil Martin","Saxophone"
12273,36,"Richie Holmes","Vocals"
5950,36,"John Reynolds","Guitar"
8676,36,"Steve Spurgin","Keyboards"
27,36,"Fred Palethorpe","Drums"
3102,36,"Roy Campbell","Bass"
3103,37,"John Reynolds","Guitar"
5951,37,"Steve Spurgin","Keyboards"
12814,37,"John Corner","Vocals, Saxophone"
12274,37,"Dave Edge","Bass"
10993,37,"Richie Holmes","Vocals"
28,37,"Fred Palethorpe","Drums"
8677,37,"Phil Martin","Saxophone"
8678,38,"Phil Martin","Saxophone"
3104,38,"John Reynolds","Guitar"
5952,38,"Steve Spurgin","Keyboards"
29,38,"Fred Palethorpe","Drums"
10994,38,"Richie Holmes","Vocals"
3105,39,"Denise Roughan","Bass, Vocals"
8679,39,"Dominic Stones","Drums"
30,39,"David Mitchell","Guitar, Vocals"
5953,39,"David Saunders","Guitar, Vocals"
5954,40,"Tony Thorpe",""
3106,40,"Robert Taylor",""
31,40,"Andrew Edward Beer",""
32,42,"Richard Parfitt","Guitar, Vocals"
5955,42,"Carl Bevan","Drums"
3107,42,"Mike Cole","Bass, Vocals"
3108,43,"Mike Cole","Bass, Vocals"
33,43,"Richard Parfitt","Guitar, Vocals"
5956,43,"Carl Bevan","Drums"
5957,44,"Roisin Dunne","Guitar"
3109,44,"Elizabeth Davis","Bass"
34,44,"Valerie Agnew","Drums"
8680,44,"Selene Vigil","Vocals"
35,45,"Victor N'dip","Guitar, Vocals"
3110,45,"Lurgin Pin","Bass, Keyboards, Vocals"
3111,46,"Lurgin Pin","Bass, Keyboards, Vocals"
5958,46,"Lurgin Pin",""
36,46,"Victor N'dip","Guitar, Vocals"
8681,46,"Keyboards & Bass Guitar",""
3112,47,"Lurgin Pin","Bass, Vocals, Keyboards, Machines"
37,47,"Victor N'dip","Guitar, Vocals, Keyboards, Machines"
38,48,"Victor N'dip","Guitar, Programming"
3113,48,"Lurgin Pin","Keyboards, Bass"
3114,50,"Mark Anders","Bass"
8682,50,"Pix","Guitar, Vocals"
10995,50,"Peter Filleul","Electric Piano"
39,50,"Derek Ballard","Drums"
5959,50,"Craig Anders","Lead Guitar"
5960,51,"Craig Anders","Lead Guitar"
8683,51,"Pix","Guitar, Vocals"
3115,51,"Mark Anders","Bass"
40,51,"Derek Ballard","Drums"
10996,51,"Peter Filleul","Electric Piano"
10997,52,"Jeff Bannister","Keyboard, Vocals"
8684,52,"Pix","Guitar, Vocals"
5961,52,"Craig Anders","Lead Guitar"
41,52,"Derek Ballard","Drums"
3116,52,"Mark Anders","Bass"
3117,53,"Mark Anders","Bass"
8685,53,"Pix","Guitar, Vocals"
10998,53,"Jeff Bannister","Keyboard, Vocals"
42,53,"Derek Ballard","Drums"
5962,53,"Craig Anders","Lead Guitar"
5963,54,"Caz Riley","Bass"
8686,54,"Roger Ward","Lead Guitar"
3118,54,"David Gormley","Drums"
43,54,"Paul Campion","Vocals, Guitar"
10999,54,"Reid Cunningham","Saxophone"
11000,55,"Sean Guthrie","Guitar"
8687,55,"Caz Riley","Bass"
5964,55,"David Gormley","Drums"
44,55,"Paul Campion","Vocals, Guitar"
3119,55,"Mark Raine","Guitar"
3120,57,"Caz Riley",""
8688,57,"Mark Raine",""
45,57,"Paul Campion",""
5965,57,"Dave Gormley",""
5966,60,"Peter Terell","Guitar"
3121,60,"Martin Moscrop","Guitar"
11001,60,"Donald Johnson","Drums"
46,60,"Simon Topping","Vocals"
8689,60,"Jeremy Kerr","Bass"
8690,61,"Jeremy Kerr","Bass"
3122,61,"Martin Moscrop","Guitar"
12275,61,"Martha Lucy",""
5967,61,"Peter Terell","Guitar"
47,61,"Simon Topping","Vocals"
11002,61,"Donald Johnson","Drums"
11003,62,"Donald Johnson","Drums"
12276,62,"Andy Connell","Keyboards, Percussion"
8691,62,"Jeremy Kerr","Bass"
3123,62,"Martin Moscrop","Guitar"
48,62,"Simon Topping","Vocals"
5968,62,"Peter Terell","Guitar"
5969,63,"Frank Maudsley","Bass, Backing Vocals"
8692,63,"Ali Score","Drums"
