artist_id	year	chart_position	track_title	folder	isrc	file	id	url_key
883	1989	10	I Don't Know Why I Love You	1989	GB-F08-89-00040	HouseOfLove-I Don't Know Why I Love You.aiff	546	mxzfd
886	1993	3	Her Jazz	1993	noisrc	huggybear_Herjazz.aiff	547	2pgb6
892	1985	46	Makes No Sense At All	1985	noisrc	HuskerDu-Makes No Sense At All .aiff	548	n3jwx
894	1997	13	Cross The Atlantic	1997	noisrc		549	qmf9p
895	2003	44	Tokyo Invention Registration Office	2003	noisrc		550	52bd3
898	1987	11	Preposterous Tales	1987	noisrc	I, Ludicrous - Preposterous Tales.aiff	551	8nw6m
899	1978	27	Sex & Drugs & Rock & Roll	1978	GB-CDM-78-10015	Ian Dury & The Blockheads - Sex And Drugs And Rock	552	vq9x2
909	2001	33	One Note	2001	noisrc	ikaracolt_OneNote.aiff	553	45dpn
913	1983	24	Pills & Soap	1983	GB-ASQ-83-00281	imposter_pills_and_soap.AIF	554	c863q
925	2002	42	Obstacle 1	2002	US-MTD-03-59401	Interpol_Obstacle1.aiff	555	rvxm5
932	1993	34	Good Judge Of Character	1993	noisrc		556	h4p28
940	1976	43	Fountain Of Sorrow	1976	US-EE1-74-00001	Jackson Browne - Fountain Of Sorrow.aiff	557	zc3nv
940	1976	35	Late For The Sky	1976	US-EE1-74-00002	Jackson Browne - Late For The Sky.aiff	558	gh25c
943	1977	13	Truly	1977	noisrc		559	jzn8r
945	1985	51	If Things Were Perfect	1985	noisrc	James–If Things Were Perfect.aiff	560	fgqvh
945	1985	28	Hymn From A Village	1985	GB-ANQ-85-00001	James - Hymn From A Village.aiff	561	bj54z
945	1989	8	Sit Down	1989	GB-FO8-90-90155	James - Sit Down.aiff	562	wf8cg
945	1988	33	What For	1988	GB-F08-98-00679	James-What For.aiff	563	9bvrj
949	2004	18	Jack Rabbit	2004	noisrc	jawbone_Jackrabbit.aiff	564	dw4hf
949	2004	10	Hi De Hi	2004	GB-BKS-04-00063	jawbone_Hi-De-Hi.aiff	565	69czb
953	1976	24	White Rabbit	1976	US-RC1-66-01832	Jefferson Airplane - White Rabbit.aiff	566	xdrgw
954	2002	23	The Chelsea Hotel Oral Sex Song	2002	GB-CV2-01-00125	jeffreylewis_ChelseaHotelOralSexSong.aiff	567	p6hj9
961	1989	32	Info Freako	1989	GB-AYE-89-00204	JesusJones_InfoFreako.aiff	568	3xzfd
966	1976	16	Voodoo Chile	1976	US-MC1-93-41505	Jimi Hendrix - Voodoo Chile.aiff	569	mpgb6
966	1976	37	Hey Joe	1976	US-MC1-67-40590	Jimi Hendrix - Hey Joe.aiff	570	23jwx
966	1976	5	All Along The Watchtower	1976	US-MC1-93-40588	Jimi Hendrix - All Along The Watchtower.aiff	571	nmf9p
966	0	37	All Along The Watchtower	1976	US-MC1-93-40588	Jimi Hendrix - All Along The Watchtower.aiff	572	q2bd3
972	1976	28	Rocky Mountain Way	1976	US-MC1-73-44516	Joe Walsh - Rocky Mountain Way.aiff	573	5nw6m
976	1977	5	Suspended Sentence	1977	noisrc	John Cooper Clarke - Suspended Sentence.aiff	574	8q9x2
989	2004	35	International	2004	noisrc		575	v5dpn
991	1996	22	2 Kindsa Love	1996	GB-AJH-96-00331	jonSPencer_2Kindsa Love.aiff	576	4863q
993	1976	33	Roadrunner	1976	GB-AJE-76-00006	Jonathan Richman - Roadrunner.aiff	577	cvxm5
996	1982	52	The Missionary	1982	noisrc	Josef K - The Missionary.aiff	578	r4p28
998	1980	64	Dead Souls	1980	GB-AAP-97-00219	Joy Division - Dead Souls.aiff	579	hc3nv
998	1981	1	Atmosphere	1980	GB-AAP-97-00187	Joy Division - Atmosphere.aiff	580	zrmq4
998	1981	44	Isolation	1981	GB-AAP-97-00193	Joy Division - Isolation.aiff	581	gzn8r
998	1980	2	Atmosphere	1980	GB-AAP-97-00187	Joy Division - Atmosphere.aiff	582	jgqvh
998	1980	3	Love Will Tear Us Apart	1980	GB-AAP-97-00227	Joy Division - Isolation.aiff	583	fj54z
998	1981	51	She's Lost Control	1980	GB-AAP-97-00260	Joy Division - She's Lost Control.aiff	584	bf8cg
998	1980	20	New Dawn Fades	1980	GB-ANQ-79-00001	Joy Division - New Dawn Fades.aiff	585	wbvrj
998	1981	14	Transmission	1980	GB-AAP-97-00178	Joy Division - Transmission.aiff	586	9w4hf
998	1981	11	Dead Souls	1980	GB-AAP-97-00219	Joy Division - Dead Souls.aiff	587	d9czb
998	1981	7	Decades	1980	GB-ANQ-81-00002	Joy Division - Decades.aiff	588	6drgw
998	1980	14	Decades	1980	GB-ANQ-81-00002	Joy Division - Dead Souls.aiff	589	x6hj9
998	1981	5	New Dawn Fades	1980	GB-ANQ-79-00001	Joy Division - New Dawn Fades.aiff	590	pxzfd
998	1981	3	Love Will Tear Us Apart	1980	GB-AAP-97-00227	Joy Division -Love Will Tear Us Apart.aiff	591	3pgb6
998	1981	43	Twenty-Four Hours	1980	GB-AAP-97-00199	Joy Division - Twenty Four Hours.aiff	592	m3jwx
998	1982	12	Dead Souls	1980	GB-AAP-97-00219	Joy Division - Dead Souls.aiff	593	2mf9p
998	1982	2	Atmosphere	1980	GB-AAP-97-00187	Joy Division - Atmosphere.aiff	594	n2bd3
998	1982	4	New Dawn Fades	1980	GB-ANQ-79-00001	Joy Division - New Dawn Fades.aiff	595	qnw6m
998	1982	7	Decades	1980	GB-ANQ-81-00002	Joy Division - Decades.aiff	596	5q9x2
998	1982	23	Twenty-Four Hours	1980	GB-AAP-97-00200	Joy Division - Twenty Four Hours.aiff	597	85dpn
998	1982	26	Transmission	1980	GB-AAP-97-00178	Joy Division - Transmission.aiff	598	v863q
998	1982	38	Isolation	1981	GB-AAP-97-00193	Joy Division - Isolation.aiff	599	4vxm5
998	0	28	Transmission	1980	GB-AAP-97-00178	Joy Division - Transmission.aiff	600	c4p28
998	0	20	She's Lost Control	1980	GB-AAP-97-00260	Joy Division - She's Lost Control.aiff	601	rc3nv
998	1982	41	She's Lost Control	1980	GB-AAP-97-00260	Joy Division - She's Lost Control.aiff	602	hrmq4
998	1982	3	Love Will Tear Us Apart	1980	GB-AAP-97-00227	Joy Division -Love Will Tear Us Apart.aiff	603	zh25c
998	0	1	Atmosphere	1980	GB-AAP-97-00187	Joy Division - Atmosphere.aiff	604	ggqvh
998	0	3	Love Will Tear Us Apart	1980	GB-AAP-97-00227	Joy Division -Love Will Tear Us Apart.aiff	605	jj54z
998	0	15	New Dawn Fades	1980	GB-ANQ-79-00001	Joy Division - New Dawn Fades.aiff	606	ff8cg
1018	1996	1	Come Out 2 Nite	1996	GB-AYE-96-00303	kenickie_ComeOut2Nite.aiff	607	bbvrj
1018	1996	4	Punka	1996	noisrc	Kenicke - Punka.aiff	608	ww4hf
1019	2004	43	Be Nesa	2004	noisrc		609	99czb
1024	2003	41	Strength Of Strings	2003	GB-BNZ-03-00017		610	ddrgw
1032	1982	32	Requiem	1980	GB-AAA-80-00177	Killing Joke - Requiem.aiff	611	66hj9
1032	1982	34	Psyche	1980	noisrc	Killing Joke - Pssyche.aiff	612	xxzfd
1032	1982	20	Empire Song	1982	noisrc	Killing Joke - Empire Song.aiff	613	ppgb6
1032	1981	28	Follow The Leaders	1981	noisrc	Killing Joke - Follow The Leaders.aiff	614	33jwx
1032	1981	27	Requiem	1980	GB-AAA-80-00177	Killing Joke - Requiem.aiff	615	mmf9p
1032	1980	36	Psyche	1980	noisrc	Killing Joke - Pssyche.aiff	616	22bd3
1032	1980	35	Requiem	1980	GB-AAA-80-00177	Killing Joke - Requiem.aiff	617	nnw6m
1032	1981	45	Psyche	1980	noisrc	Killing Joke - Pssyche.aiff	618	qq9x2
1032	1980	52	Wardance	1980	GB-AAA-80-00178	Killing Joke - Wardance.aiff	619	55dpn
1044	1992	44	3AM Eternal	1992	noisrc	klf_3ameternal(1989 'break for love' mix).aiff	620	8863q
1048	1999	26	Side Effects	1999	noisrc		621	vvxm5
1052	2000	35	Candyman	2000	noisrc		622	44p28
1054	2002	31	Seventeen	2002	GB-AWV-02-03023	ladytron_Seventeen.aiff	623	cc3nv
1065	1998	17	Soleil	1998	noisrc		624	rrmq4
1067	2004	17	I Lost You But I Found Country Music	2004	noisrc		625	hh25c
1068	2002	7	Too Late For Tonight	2002	noisrc	lauracantrell_TooLateforTonight.aiff	626	zzn8r
1068	2000	21	Somewhere Some Night	2000	noisrc		627	gj8cg
1068	2000	42	Queen Of The Coast	2000	noisrc		628	jfvrj
1068	2000	27	Two Seconds	2000	noisrc		629	fb4hf
1073	1981	34	O Superman	1981	US-NO1-02-68118	Laurie Anderson - O Superman (For Massenet).aiff	630	bwczb
1075	1976	19	Whole Lotta Love	1976	noisrc	Led Zeppelin - Whole Lotta Love (Edit).aiff	631	w9rgw
1075	1976	36	Kashmir	1976	US-AT2-99-00621	Led Zeppelin - Stairway To Heaven.aiff	632	9dhj9
1075	1980	63	Stairway To Heaven	1976	US-AT2-99-00620	Led Zeppelin - Stairway To Heaven.aiff	633	d6zfd
1075	1978	14	Stairway To Heaven	1976	US-AT2-99-00620	Led Zeppelin - Stairway To Heaven.aiff	634	6xgb6
1075	1976	1	Stairway To Heaven	1976	US-AT2-99-00620	Led Zeppelin - Kashmir.aiff	635	xpjwx
1075	1979	24	Stairway To Heaven	1976	US-AT2-99-00620	Led Zeppelin - Stairway To Heaven.aiff	636	p3f9p
1076	1995	41	Afro Left	1995	GB-BBN-95-00016	leftfield_ AfroLeft.aiff	637	3mbd3
1077	1976	15	Paralysed	1976	noisrc	Legendary Stardust Cowboy - Paralysed.aiff	638	m2w6m
1090	2001	39	Falling From Cloud Nine	2001	GB-BRP-01-00003	Lemonheads_DifferentDrum.aiff	639	2n9x2
1090	2001	27	These Are The Days	2001	GB-BRP-01-00007	Lemonheads_DifferentDrum.aiff	640	nqdpn
1097	2004	27	Animal Hop	2004	noisrc		641	q563q
1098	1976	26	Long Distance Love	1976	US-WB1-01-00839	Little Feat - Long Distance Love.aiff	642	58xm5
1098	1976	49	Willin'	1976	noisrc	Little Feat - Willin'.aiff	643	8vp28
1112	1995	10	Heads Of Dead Surfers	1995	noisrc	LongFinKillie_HeadsOfDeadSurfers.aiff	644	v43nv
1114	1988	41	Collision	1988	noisrc	Loop-Collision.aiff	645	4cmq4
1124	1992	36	Tearing Water	1992	noisrc		646	cr25c
1129	2002	36	(That's How You Sing) Amazing Grace	2002	noisrc	low_ThatsHowYouSingAmazingGrace.aiff	647	rhn8r
1129	2002	16	In The Drugs	2002	noisrc	low_InTheDrugs.aiff	648	hzqvh
1129	2002	18	Canada	2002	GB-CVZ-02-00318	low_Canada.aiff	649	zg54z
1129	2000	11	Dinosaur Act	2000	GB-CVZ-00-00003	Low_DinosaurAct.aiff	650	gfvrj
1129	1999	10	Immune	1999	noisrc	low_Immune.aiff	651	jb4hf
1130	1994	6	Hearts	1994	noisrc		652	fwczb
1140	1977	12	Shadow	1977	GB-AZP-98-00143	The Lurkers - Shadow.aiff	653	b9rgw
1142	1990	27	Sweetness & Light	1990	GB-AFL-90-00042	Lush_Sweetness&Light.aiff	654	wdhj9
1143	1978	19	Freebird	1976	US-MC1-76-05535	madderrose_Swim.aiff	655	96zfd
1143	1976	20	Freebird	1976	US-MC1-76-05535	Lynyrd Skynyrd - Free Bird.aiff	656	dxgb6
1145	2002	6	Hey Gravity	2002	GB-AAA-02-00465	m.a.s.s._Hey Gravity.aiff	657	6pjwx
1145	2003	35	Live A Little	2003	noisrc	m.a.s.s._LiveALittle.aiff	658	x3f9p
1146	1987	46	Pump Up The Volume	1987	GB-AFL-87-00042	MAARS-PumpUpTheVolume.aiff	659	pmbd3
1151	1993	36	Beautiful John	1993	noisrc	madderrose_BeautifulJohn.aiff	660	32w6m
1151	1994	19	The Car Song	1994	noisrc	madderrose_CarSong.aiff	661	mn9x2
1151	1994	35	Panic On	1994	noisrc	madderrose_PanicOn.aiff	662	2qdpn
1151	1993	44	Lights Go Down	1993	noisrc	madderrose_LightsGoDown.aiff	663	n563q
1151	1993	2	Swim	1993	noisrc	madderrose_Swim.aiff	664	q8xm5
1154	1980	61	Shot By Both Sides	1978	GB-AAA-80-00076	Magazine - Shot By Both Sides.aiff	665	5vp28
1154	1978	5	Shot By Both Sides	1978	GB-AAA-80-00076	Magazine - Shot By Both Sides.aiff	666	843nv
1154	1979	17	Shot By Both Sides	1978	GB-AAA-80-00076	Manic Street Preachers - A Design For Life.aiff	667	vcmq4
1154	1981	53	Shot By Both Sides	1978	GB-AAA-80-00076	Magazine - Shot By Both Sides.aiff	668	4r25c
1155	2004	47	Electricity	2004	noisrc		669	chn8r
1155	2004	34	Bug Eyed Beans from Venus	2004	noisrc		670	rzqvh
1162	2003	32	Open Field	2003	noisrc		671	hg54z
1166	1998	32	My Own Private Patrick Swayze	1998	noisrc		672	zj8cg
1171	1996	42	A Design For Life	1996	GB-BBM-96-00003	Manic Street Preachers - A Design For Life.aiff	673	gb4hf
1180	1999	47	Parallel Horizontal	1999	noisrc		674	jwczb
1181	2002	9	Identify The Beat	2002	noisrc		675	f9rgw
1183	1977	7	Right Track	1977	noisrc		676	bdhj9
1189	2004	13	Do Not Underestimate	2004	noisrc	massiveattack_Teardrop.aiff	677	w6zfd
1194	1998	21	Teardrop	1998	GB-AAA-98-00322	massiveattack_Teardrop.aiff	678	9xgb6
1195	1976	46	O Caroline	1976	noisrc	Matching Mole (Robert Wyatt) - O Caroline.aiff	679	dpjwx
1202	1994	25	Fade Into You	1994	US-CA2-93-00105	mazzystar_FadeIntoYou.aiff	680	63f9p
1207	1987	35	Frans Hals	1987	noisrc	McCarthy-Frans Hats.aiff	681	xmbd3
1207	1988	38	Should The Bible Be Banned	1988	GB-BLY-88-00013	McCarthy - Should The Bible Be Banned.aiff	682	p2w6m
1208	2002	40	To Hell With Good Intentions	2002	GB-BNZ-01-00081	mcclusky_2HellWGood Intentions02.aiff	683	3n9x2
1208	2004	26	That Man Will Not Hang	2004	GB-BNZ-04-00002	mcclusky_ThatManWillNotHang.aiff	684	mqdpn
1208	2002	35	Alan Is A Cowboy Killer	2002	GB-BNZ-01-00084	Mclusky_AlanisaCowboyKiller02.mp3	685	2563q
1211	2001	11	Morning After Pill	2001	GB-ELM-01-00013	meanwhilerussia_MorningAfterPill.aiff	686	n8xm5
1215	1988	43	Miles Apart	1988	noisrc	megacity_miles_apart	687	qvp28
1216	1979	41	Where Were You?	1979	noisrc	Mekons - Where Were You.aiff	688	543nv
1219	1998	37	Stimulus For Revolting Virus	1998	noisrc		689	8cmq4
1219	1999	38	Plot In A Pot	1999	noisrc		690	vr25c
1219	2003	12	Shield For Your Eyes	2003	noisrc	meltbanana_ShieldYourEyes.aiff	691	4hn8r
