id	name	image	biog	url_key
140	Baby Bird	NULL	NULL	jx3nv
141	Back Door	NULL	NULL	fpmq4
142	Backwater	NULL	NULL	b325c
143	Bad Dress Sense	NULL	NULL	wmn8r
144	Bad Religion	NULL	NULL	92qvh
145	Badgewearer	NULL	NULL	dn54z
146	Badly Drawn Boy	NULL	NULL	6q8cg
147	Bailterspace	NULL	NULL	x5vrj
148	Ballboy	NULL	NULL	p84hf
149	Bamboo Zoo	NULL	NULL	3vczb
150	Banco De Gaia	NULL	NULL	m4rgw
151	Band Of Susans	NULL	NULL	2chj9
152	Bandoggs	NULL	NULL	nrzfd
153	Bandulu	NULL	NULL	qhgb6
154	Bang Bang Machine	NULL	NULL	5zjwx
155	Bangtwister	NULL	NULL	8gf9p
156	Baptist Generals	NULL	NULL	vjbd3
157	Barbel	NULL	NULL	4fw6m
158	Barcelona Pavilion	NULL	NULL	cb9x2
159	Barclay James Harvest	NULL	NULL	rwdpn
160	Bardo Pond	NULL	NULL	h963q
161	Bardots	NULL	NULL	zdxm5
162	Bark Market	NULL	NULL	gx3nv
163	Barmy Army	NULL	NULL	jpmq4
164	Barry Adamson	NULL	NULL	f325c
165	Basement Five	NULL	NULL	bmn8r
166	Basking Sharks	NULL	NULL	w2qvh
167	Bastard Kestrel	NULL	NULL	9n54z
168	Bastro	NULL	NULL	dq8cg
169	Batti Mamzelle	NULL	NULL	65vrj
170	Bauhaus	NULL	NULL	x84hf
171	Bays	NULL	NULL	pvczb
172	Be Bop Deluxe	NULL	NULL	34rgw
173	Beach Boys	NULL	NULL	mchj9
174	Bear Quartet	NULL	NULL	2rzfd
175	Bearsuit	NULL	NULL	nhgb6
176	Beatmasters	NULL	NULL	qzjwx
177	Beatnigs	NULL	NULL	5gf9p
178	Beatnik Filmstars	NULL	NULL	8jbd3
179	Beck	NULL	NULL	vfw6m
180	Bee Vamp	NULL	NULL	4b9x2
181	Bees	NULL	NULL	cwdpn
182	Belle & Sebastian	NULL	NULL	r963q
183	Bellrays	NULL	NULL	hdxm5
184	Benjamin Zepheniah	NULL	NULL	z6p28
185	Bennet	NULL	NULL	gpmq4
186	Benny Profane	NULL	NULL	j325c
187	Berntholer	NULL	NULL	fmn8r
188	Bette Davis	NULL	NULL	b2qvh
189	Beulah	NULL	NULL	wn54z
190	Bhundu Boys	NULL	NULL	9q8cg
191	Biffy Clyro	NULL	NULL	d5vrj
192	Big Black	NULL	NULL	684hf
193	Big Chief	NULL	NULL	xvczb
194	Big Country	NULL	NULL	p4rgw
195	Big Fayia	NULL	NULL	3chj9
196	Big Flame	NULL	NULL	mrzfd
197	Big Grunt	NULL	NULL	2hgb6
198	Big In Japan	NULL	NULL	nzjwx
199	Big Self	NULL	NULL	qgf9p
200	Bikini Kill	NULL	NULL	5jbd3
201	Bilge Pump	NULL	NULL	8fw6m
202	Bill Nelson	NULL	NULL	vb9x2
203	Billy Boy Arnold	NULL	NULL	4wdpn
