id	name	image	biog	url_key
605	Eddie & The Hot Rods	NULL	NULL	d3n8r
606	Edgar Broughton Band	NULL	NULL	6mqvh
607	Edsel Auctioneer	NULL	NULL	x254z
608	Eek-A Mouse	NULL	NULL	pn8cg
609	Egg	NULL	NULL	3qvrj
610	Eggs	NULL	NULL	m54hf
611	Eighties Matchbox B-Line Disaster	NULL	NULL	28czb
612	Einsturzende Neubauten	NULL	NULL	nvrgw
613	Eire Apparent	NULL	NULL	q4hj9
614	El Dorados	NULL	NULL	5czfd
615	El Goodo	NULL	NULL	8rgb6
616	El Hombre Trajeado	NULL	NULL	vhjwx
617	Elastica	NULL	NULL	4zf9p
618	Elbow	NULL	NULL	cgbd3
619	Electrelane	NULL	NULL	rjw6m
620	Electribe 101	NULL	NULL	hf9x2
621	Electric Music Aka	NULL	NULL	zbdpn
622	Electric Sound Of Joy	NULL	NULL	g9xm5
623	Electronic	NULL	NULL	jdp28
624	Element	NULL	NULL	f63nv
625	Elementz Of Noize	NULL	NULL	bxmq4
626	Elevate	NULL	NULL	wp25c
627	Eleven	NULL	NULL	93n8r
628	Elizabethan Jazz Trio	NULL	NULL	dmqvh
629	Ella Guru	NULL	NULL	6254z
630	Ellery Bop	NULL	NULL	xn8cg
631	Elti Fits	NULL	NULL	pqvrj
632	Elton John	NULL	NULL	354hf
633	Elvis Costello	NULL	NULL	m8czb
634	Endgames	NULL	NULL	2vrgw
635	Eno & The Winkies	NULL	NULL	n4hj9
636	Envy	NULL	NULL	qczfd
637	Eon	NULL	NULL	5rgb6
638	Erase Errata	NULL	NULL	8hjwx
639	Erazerhead	NULL	NULL	vzf9p
640	Eric B & Rakim	NULL	NULL	4gbd3
641	Eric Bogosian	NULL	NULL	cjw6m
642	Eric's Trip	NULL	NULL	rf9x2
643	Eska	NULL	NULL	hbdpn
644	Etchingham Steam Band	NULL	NULL	zw63q
645	Eton Crop	NULL	NULL	gdp28
646	Eva Luna	NULL	NULL	j63nv
647	Even As We Speak	NULL	NULL	fxmq4
648	Everything But The Girl	NULL	NULL	bp25c
649	Evolution Control Committee	NULL	NULL	w3n8r
650	Ex	NULL	NULL	9mqvh
651	Ex Girl	NULL	NULL	d254z
652	Exiles	NULL	NULL	6n8cg
653	Exit Condition	NULL	NULL	xqvrj
654	Expelaires	NULL	NULL	p54hf
655	Expelled	NULL	NULL	38czb
656	Experimental Pop Band	NULL	NULL	mvrgw
657	Explosions In The Sky	NULL	NULL	24hj9
658	Ex-Post Facto	NULL	NULL	nczfd
659	Extreme Noise Terror	NULL	NULL	qrgb6
660	Ezt	NULL	NULL	5hjwx
661	F**k	NULL	NULL	8zf9p
662	Fabric	NULL	NULL	vgbd3
663	Fabulous Poodles	NULL	NULL	4jw6m
664	Faces	NULL	NULL	cf9x2
665	Fairfield Parlour	NULL	NULL	rbdpn
666	Fairport Convention	NULL	NULL	hw63q
667	The Fall	NULL	NULL	z9xm5
668	Family	NULL	NULL	g63nv
669	Famous Jug Band	NULL	NULL	jxmq4
670	Fantasmagroover	NULL	NULL	fp25c
671	Fatboy Slim	NULL	NULL	b3n8r
672	Faust	NULL	NULL	wmqvh
673	Feck	NULL	NULL	9254z
674	Felt	NULL	NULL	dn8cg
675	FFLAPS	NULL	NULL	6qvrj
676	Fiasco	NULL	NULL	x54hf
677	Fibla	NULL	NULL	p8czb
678	Field Mice	NULL	NULL	3vrgw
679	Filler	NULL	NULL	m4hj9
680	Filthkick	NULL	NULL	2czfd
681	Finbar And Eddie Furey	NULL	NULL	nrgb6
682	Fingerprintz	NULL	NULL	qhjwx
683	Finitribe	NULL	NULL	5zf9p
684	Fire Engines	NULL	NULL	8gbd3
685	Fire Party	NULL	NULL	vjw6m
686	Fireworks	NULL	NULL	4f9x2
687	First Offence	NULL	NULL	cbdpn
688	Fitz Of Depression	NULL	NULL	rw63q
689	Five Blind Boys Of Alabama	NULL	NULL	h9xm5
690	Five Hand Reel	NULL	NULL	zdp28
691	Fixit Kid	NULL	NULL	gxmq4
692	Flatback 4	NULL	NULL	jp25c
693	Fleece	NULL	NULL	f3n8r
694	Fleetwood Mac	NULL	NULL	bmqvh
695	Flesh	NULL	NULL	w254z
696	Flesh For Lulu	NULL	NULL	9n8cg
697	Flinch	NULL	NULL	dqvrj
698	Flipper	NULL	NULL	654hf
699	Float Up CP	NULL	NULL	x8czb
700	Florists	NULL	NULL	pvrgw
701	Flossie & The Unicorns	NULL	NULL	34hj9
702	Floy Joy	NULL	NULL	mczfd
703	Fluke	NULL	NULL	2rgb6
704	Flying Lizards	NULL	NULL	nhjwx
705	Flying Saucer Attack	NULL	NULL	qzf9p
706	Fokkewolf	NULL	NULL	5gbd3
707	Folk Implosion	NULL	NULL	8jw6m
708	Fonn	NULL	NULL	vf9x2
709	Force & Stars	NULL	NULL	4bdpn
710	Force Fed	NULL	NULL	cw63q
711	Foreheads In A Fishtank	NULL	NULL	r9xm5
712	Forest	NULL	NULL	hdp28
713	Fortdax	NULL	NULL	z63nv
714	Forty Fives	NULL	NULL	gp25c
715	Fotomoto	NULL	NULL	j3n8r
716	Four Skins	NULL	NULL	fmqvh
717	Four Tet	NULL	NULL	b254z
718	Foyer Des Artes	NULL	NULL	wn8cg
719	Frames	NULL	NULL	9qvrj
720	Frank & Walters	NULL	NULL	d54hf
721	Frank Black	NULL	NULL	68czb
722	Frankfurter	NULL	NULL	xvrgw
723	Frankie Goes To Hollywood	NULL	NULL	p4hj9
724	Frankie Miller	NULL	NULL	3czfd
725	Frantic Elevators	NULL	NULL	mrgb6
726	Freaks	NULL	NULL	2hjwx
727	Fred Frith	NULL	NULL	nzf9p
728	Freddy Fresh	NULL	NULL	qgbd3
729	Free	NULL	NULL	5jw6m
730	Freed Unit	NULL	NULL	8f9x2
731	Freefall	NULL	NULL	vbdpn
732	Freeze	NULL	NULL	4w63q
733	Freeze Frame	NULL	NULL	c9xm5
734	Freiwillige Selbst-Kontrolle (F.S.K.)	NULL	NULL	rdp28
735	French	NULL	NULL	h63nv
736	Freur	NULL	NULL	zxmq4
737	Front 242	NULL	NULL	g3n8r
738	Fruit Machine	NULL	NULL	jmqvh
739	Fudge Tunnel	NULL	NULL	f254z
740	Fugazi	NULL	NULL	bn8cg
741	Fugees	NULL	NULL	wqvrj
742	Fumble	NULL	NULL	954hf
743	Fun Boy 3	NULL	NULL	d8czb
744	Fun Da Mental	NULL	NULL	6vrgw
745	Fun Krew	NULL	NULL	x4hj9
746	Furious Pig	NULL	NULL	pczfd
747	Further	NULL	NULL	3rgb6
748	Future Sound Of London	NULL	NULL	mhjwx
749	Futureheads	NULL	NULL	2zf9p
750	G. Lewis And D.C. Gilbert	NULL	NULL	ngbd3
751	G.M.C.	NULL	NULL	qjw6m
752	GAG	NULL	NULL	5f9x2
753	Galaxie 500	NULL	NULL	8bdpn
754	Gallagher And Lyle	NULL	NULL	vw63q
755	Gallon Drunk	NULL	NULL	49xm5
756	Gang Of Four	NULL	NULL	cdp28
757	Garbage	NULL	NULL	r63nv
758	Garlic	NULL	NULL	hxmq4
759	Gary Boyle	NULL	NULL	zp25c
760	Gary Numan	NULL	NULL	gmqvh
761	Gay And Terry Woods	NULL	NULL	j254z
762	Gene	NULL	NULL	fn8cg
763	Gene Loves Jezebel	NULL	NULL	bqvrj
764	Generation X	NULL	NULL	w54hf
765	Genesis	NULL	NULL	98czb
766	Geneva	NULL	NULL	dvrgw
767	Gentle Giant	NULL	NULL	64hj9
768	Gentle People	NULL	NULL	xczfd
769	George & Martha	NULL	NULL	prgb6
770	Gerry And The Pacemakers	NULL	NULL	3hjwx
771	Gerry Rafferty	NULL	NULL	mzf9p
772	Gilded Lil	NULL	NULL	2gbd3
773	Girlfrendo	NULL	NULL	njw6m
774	Girls At Our Best	NULL	NULL	qf9x2
775	Glass Torpedoes	NULL	NULL	5bdpn
776	Glenn Jones	NULL	NULL	8w63q
777	Global Communication	NULL	NULL	v9xm5
778	Go Fundamental	NULL	NULL	4dp28
779	Go Hole	NULL	NULL	c63nv
780	Goatboy	NULL	NULL	rxmq4
781	God Is My Co-Pilot	NULL	NULL	hp25c
782	God Machine	NULL	NULL	z3n8r
783	Godflesh	NULL	NULL	g254z
784	God's Boyfriend	NULL	NULL	jn8cg
785	Godspeed You Black Emperor!	NULL	NULL	fqvrj
786	Goldchains	NULL	NULL	b54hf
787	Golden Starlet	NULL	NULL	w8czb
788	Golden Virgins	NULL	NULL	9vrgw
789	Gong	NULL	NULL	d4hj9
790	Gonzales	NULL	NULL	6czfd
791	Goober Patrol	NULL	NULL	xrgb6
792	Good Habit	NULL	NULL	phjwx
793	Gore	NULL	NULL	3zf9p
794	Gorky's Zygotic Mynci	NULL	NULL	mgbd3
795	Gossip	NULL	NULL	2jw6m
796	Graham Coxon	NULL	NULL	nf9x2
797	Graham Parker & The Rumour	NULL	NULL	qbdpn
798	Grandaddy	NULL	NULL	5w63q
799	Grandmaster Flash	NULL	NULL	89xm5
800	Grandmaster Gareth	NULL	NULL	vdp28
801	Grateful Dead	NULL	NULL	463nv
802	Greenhouse	NULL	NULL	cxmq4
803	Greenskeepers	NULL	NULL	rp25c
804	Gregory Isaacs	NULL	NULL	h3n8r
805	Griffin	NULL	NULL	zmqvh
806	Grifters	NULL	NULL	gn8cg
807	Grinderswitch	NULL	NULL	jqvrj
808	Groundation	NULL	NULL	f54hf
809	Groundhogs	NULL	NULL	b8czb
810	Group Choir	NULL	NULL	wvrgw
811	Grover	NULL	NULL	94hj9
812	Gruppo Sportivo	NULL	NULL	dczfd
813	Guana Batz	NULL	NULL	6rgb6
814	Guided By Voices	NULL	NULL	xhjwx
815	Gumball	NULL	NULL	pzf9p
816	Gun Club	NULL	NULL	3gbd3
817	Gunshot	NULL	NULL	mjw6m
818	Guv'Ner	NULL	NULL	2f9x2
819	Gypsy	NULL	NULL	nbdpn
820	H Foundation	NULL	NULL	qw63q
821	Hagar The Womb	NULL	NULL	59xm5
822	Half Japanese	NULL	NULL	8dp28
823	Half Man, Half Biscuit	NULL	NULL	v63nv
824	Halo	NULL	NULL	4xmq4
825	Happy Mondays	NULL	NULL	cp25c
826	Hard Corps	NULL	NULL	r3n8r
827	Hard Meat	NULL	NULL	hmqvh
828	Hardfloor	NULL	NULL	z254z
829	Harpies	NULL	NULL	gqvrj
830	Harvey's Rabbit	NULL	NULL	j54hf
831	Hatfield And The North	NULL	NULL	f8czb
832	HDQ	NULL	NULL	bvrgw
833	Head Cleaner	NULL	NULL	w4hj9
834	Head Of David	NULL	NULL	9czfd
835	Headhunters	NULL	NULL	drgb6
836	Heads	NULL	NULL	6hjwx
837	Heads Hands And Feet	NULL	NULL	xzf9p
838	Heart Throbs	NULL	NULL	pgbd3
839	Heaven 17	NULL	NULL	3jw6m
840	Heavenly	NULL	NULL	mf9x2
841	Hefner	NULL	NULL	2bdpn
842	Helen And The Horns	NULL	NULL	nw63q
843	Helen Love	NULL	NULL	q9xm5
844	Hellacopters	NULL	NULL	5dp28
845	Hells	NULL	NULL	863nv
846	Helmet	NULL	NULL	vxmq4
847	Help Yourself	NULL	NULL	4p25c
848	Henry Cow	NULL	NULL	c3n8r
849	Here	NULL	NULL	rmqvh
850	Here And Now	NULL	NULL	h254z
851	Here's Johnny	NULL	NULL	zn8cg
852	Heresy	NULL	NULL	g54hf
853	Herman Dune	NULL	NULL	j8czb
854	Hey Paulette	NULL	NULL	fvrgw
855	Heywoode	NULL	NULL	b4hj9
856	Hiding Place	NULL	NULL	wczfd
857	Hi-Fi	NULL	NULL	9rgb6
858	High Fidelity	NULL	NULL	dhjwx
859	High Level Ranters	NULL	NULL	6zf9p
860	High Tide	NULL	NULL	xgbd3
861	Highbirds	NULL	NULL	pjw6m
862	Hint	NULL	NULL	3f9x2
863	Hirameka Hi Fi	NULL	NULL	mbdpn
864	Hitchers	NULL	NULL	2w63q
865	Hits	NULL	NULL	n9xm5
866	Hives	NULL	NULL	qdp28
867	Hockett	NULL	NULL	563nv
868	Hofman	NULL	NULL	8xmq4
869	Hokey Pokey	NULL	NULL	vp25c
870	Hole	NULL	NULL	43n8r
871	Holger Hiller	NULL	NULL	cmqvh
872	Holle Holle	NULL	NULL	r254z
873	Holy Ghost	NULL	NULL	hn8cg
874	Holy Mackerel	NULL	NULL	zqvrj
875	Home	NULL	NULL	g8czb
876	Hood	NULL	NULL	jvrgw
877	Hooton 3 Car	NULL	NULL	f4hj9
878	Hopewell	NULL	NULL	bczfd
879	Hopper	NULL	NULL	wrgb6
880	Horslips	NULL	NULL	9hjwx
881	Hot Snakes	NULL	NULL	dzf9p
882	Hot Water	NULL	NULL	6gbd3
883	House Of Love	NULL	NULL	xjw6m
884	Howard Devoto	NULL	NULL	pf9x2
885	Huevos Rancheros	NULL	NULL	3bdpn
886	Huggy Bear	NULL	NULL	mw63q
887	Hula	NULL	NULL	29xm5
888	Hula Hoop	NULL	NULL	ndp28
889	Humanoid	NULL	NULL	q63nv
890	Humblebums	NULL	NULL	5xmq4
891	Hunches	NULL	NULL	8p25c
892	Husker Du	NULL	NULL	v3n8r
893	Hybirds	NULL	NULL	4mqvh
894	Hydroplane	NULL	NULL	c254z
895	Hyper Kinako	NULL	NULL	rn8cg
896	Hypnotone	NULL	NULL	hqvrj
897	I Am Kloot	NULL	NULL	z54hf
898	I, Ludicrous	NULL	NULL	gvrgw
899	Ian Dury And The Blockheads	NULL	NULL	j4hj9
900	Ian McCulloch	NULL	NULL	fczfd
901	Ian Rush	NULL	NULL	brgb6
902	Icarus	NULL	NULL	whjwx
903	Icarus Line	NULL	NULL	9zf9p
904	Icon A.D.	NULL	NULL	dgbd3
905	Ictus	NULL	NULL	6jw6m
906	Idiot Dancers	NULL	NULL	xf9x2
907	If	NULL	NULL	pbdpn
908	Ifang Bondi	NULL	NULL	3w63q
909	Ikara Colt	NULL	NULL	m9xm5
910	I'm Being Good	NULL	NULL	2dp28
911	I'm So Hollow	NULL	NULL	n63nv
912	Immortal Lee County Killers	NULL	NULL	qxmq4
913	Imposter	NULL	NULL	5p25c
914	Imrat Khan	NULL	NULL	83n8r
915	In Camera	NULL	NULL	vmqvh
916	In Dust	NULL	NULL	4254z
917	In Excelsis	NULL	NULL	cn8cg
918	In Tua Nua	NULL	NULL	rqvrj
919	Inca Babies	NULL	NULL	h54hf
920	Incredible String Band	NULL	NULL	z8czb
921	Innersphere	NULL	NULL	g4hj9
922	Inside Out	NULL	NULL	jczfd
923	Intense Degree	NULL	NULL	frgb6
924	Inter	NULL	NULL	bhjwx
925	Interpol	NULL	NULL	wzf9p
926	Irresistible Force	NULL	NULL	9gbd3
927	Isaac Guillory	NULL	NULL	djw6m
928	Isan	NULL	NULL	6f9x2
929	Isotope	NULL	NULL	xbdpn
930	It's Immaterial	NULL	NULL	pw63q
931	Ivor Cutler	NULL	NULL	39xm5
932	J Church	NULL	NULL	mdp28
933	J Mascis	NULL	NULL	263nv
934	Jack Drag	NULL	NULL	nxmq4
935	Jack Rose	NULL	NULL	qp25c
936	Jack Scott	NULL	NULL	53n8r
937	Jack The Lad	NULL	NULL	8mqvh
938	Jack White	NULL	NULL	v254z
939	Jackdaw With Crowbar	NULL	NULL	4n8cg
940	Jackson Browne	NULL	NULL	cqvrj
941	Jacktars	NULL	NULL	r54hf
942	Jacob's Mouse	NULL	NULL	h8czb
943	Jah Hayes & Ranking Trevor	NULL	NULL	zvrgw
944	Jale	NULL	NULL	gczfd
945	James	NULL	NULL	jrgb6
946	James Yorkston And The Athletes	NULL	NULL	fhjwx
947	Jasmine Minks	NULL	NULL	bzf9p
948	Jass Babies	NULL	NULL	wgbd3
949	Jawbone	NULL	NULL	9jw6m
950	Jawbox	NULL	NULL	df9x2
951	Jeans Team	NULL	NULL	6bdpn
952	Jeff Mills	NULL	NULL	xw63q
953	Jefferson Airplane	NULL	NULL	p9xm5
954	Jeffrey Lewis	NULL	NULL	3dp28
955	Jegsy Dodd	NULL	NULL	m63nv
956	Jellicoe	NULL	NULL	2xmq4
957	Jellybread	NULL	NULL	np25c
958	Jellyfish Kiss	NULL	NULL	q3n8r
959	Jerome	NULL	NULL	5mqvh
960	Jess Roden	NULL	NULL	8254z
961	Jesus Jones	NULL	NULL	vn8cg
962	Jesus Lizard	NULL	NULL	4qvrj
963	Jet	NULL	NULL	c54hf
964	Jethro Tull	NULL	NULL	r8czb
965	Jim O'Rourke	NULL	NULL	hvrgw
966	Jimi Hendrix	NULL	NULL	z4hj9
967	Jimmy Norton's Explosion	NULL	NULL	grgb6
968	Joan Armatrading	NULL	NULL	jhjwx
969	Jody Grind	NULL	NULL	fzf9p
970	Joe Cocker And The Grease Band	NULL	NULL	bgbd3
971	Joe Jackson	NULL	NULL	wjw6m
972	Joe Walsh	NULL	NULL	9f9x2
973	Joey Fat	NULL	NULL	dbdpn
974	John Cale	NULL	NULL	6w63q
975	John Chibadura & The Tembo Brothers	NULL	NULL	x9xm5
976	John Cooper Clarke	NULL	NULL	pdp28
977	John Doonan	NULL	NULL	363nv
978	John Dummer Blues Band	NULL	NULL	mxmq4
979	John Fahey	NULL	NULL	2p25c
980	John Golding	NULL	NULL	n3n8r
981	John Greaves and Peter Blegvad	NULL	NULL	qmqvh
982	John Martyn	NULL	NULL	5254z
983	John McLaughlin	NULL	NULL	8n8cg
984	John Peel Festive 50 Special	NULL	NULL	vqvrj
985	John Peel Xmas Show	NULL	NULL	454hf
986	John Prine	NULL	NULL	c8czb
987	John Walters	NULL	NULL	rvrgw
988	Jolt	NULL	NULL	h4hj9
989	Jon E Cash	NULL	NULL	zczfd
990	Jon Hiseman's Colosseum	NULL	NULL	ghjwx
991	Jon Spencer Blues Explosion	NULL	NULL	jzf9p
992	Jonathan Perkins	NULL	NULL	fgbd3
993	Jonathan Richman	NULL	NULL	bjw6m
994	Joni Mitchell	NULL	NULL	wf9x2
995	Joolz	NULL	NULL	9bdpn
996	Josef K	NULL	NULL	dw63q
997	Joshua Rifkin	NULL	NULL	69xm5
998	Joy Division	NULL	NULL	xdp28
999	Joyrider	NULL	NULL	p63nv
1000	Ju Ju	NULL	NULL	3xmq4
1001	Jubilee Allstars	NULL	NULL	mp25c
1002	Juicy Lucy	NULL	NULL	23n8r
1003	Jules Verne	NULL	NULL	nmqvh
1004	Julian Cope	NULL	NULL	q254z
1005	June Brides	NULL	NULL	5n8cg
1006	June Tabor	NULL	NULL	8qvrj
1007	Junior Gee And The Capital Boys	NULL	NULL	v54hf
1008	Just Us	NULL	NULL	48czb
1009	Justin Berkovi	NULL	NULL	cvrgw
1010	K K Kings	NULL	NULL	r4hj9
1011	Kaisers	NULL	NULL	hczfd
1012	Kaito	NULL	NULL	zrgb6
1013	Kan Kan	NULL	NULL	gzf9p
1014	Kanda Bongo Man	NULL	NULL	jgbd3
1015	Karamasov	NULL	NULL	fjw6m
1016	Katch 22	NULL	NULL	bf9x2
1017	Kelis	NULL	NULL	wbdpn
1018	Kenickie	NULL	NULL	9w63q
1019	Kentucky AFC	NULL	NULL	d9xm5
1020	Kerb	NULL	NULL	6dp28
1021	Kevin Ayers	NULL	NULL	x63nv
1022	Kevin Browne	NULL	NULL	pxmq4
1023	Kevin Coyne	NULL	NULL	3p25c
1024	Keys	NULL	NULL	m3n8r
1025	Khartomb	NULL	NULL	2mqvh
1026	Khaya	NULL	NULL	n254z
1027	Kick Partners	NULL	NULL	qn8cg
1028	Kid 606	NULL	NULL	5qvrj
1029	Kid Brian And His Farmer's Boys	NULL	NULL	854hf
1030	Kid Koala	NULL	NULL	v8czb
1031	Kidnapper	NULL	NULL	4vrgw
1032	Killing Joke	NULL	NULL	c4hj9
1033	Kills	NULL	NULL	rczfd
1034	King	NULL	NULL	hrgb6
1035	King Biscuit Boy	NULL	NULL	zhjwx
1036	King Crimson	NULL	NULL	ggbd3
1037	King Of The Slums	NULL	NULL	jjw6m
1038	Kings Of Oblivion	NULL	NULL	ff9x2
1039	Kingsbury Manx	NULL	NULL	bbdpn
1040	Kinks	NULL	NULL	ww63q
1041	Kiss AMC	NULL	NULL	99xm5
1042	KIT	NULL	NULL	ddp28
1043	Kitchens Of Distinction	NULL	NULL	663nv
1044	KLF	NULL	NULL	xxmq4
1045	Klute	NULL	NULL	pp25c
1046	Knights Of The Occasional Table	NULL	NULL	33n8r
1047	Kokomo	NULL	NULL	mmqvh
1048	Kraken	NULL	NULL	2254z
1049	L7	NULL	NULL	nn8cg
1050	La Bradford	NULL	NULL	qqvrj
1051	La Muerte	NULL	NULL	554hf
1052	Lab 4	NULL	NULL	88czb
1053	Labradford	NULL	NULL	vvrgw
1054	Ladytron	NULL	NULL	44hj9
1055	Laibach	NULL	NULL	cczfd
1056	Laika	NULL	NULL	rrgb6
1057	Lali Puna	NULL	NULL	hhjwx
1058	Lance Gambit Trio	NULL	NULL	zzf9p
1059	Land Of Nod	NULL	NULL	gj9x2
1060	Landscape	NULL	NULL	jfdpn
1061	Lash Lariat And The Long Riders	NULL	NULL	fb63q
1062	Last Party	NULL	NULL	bwxm5
1063	Laugh	NULL	NULL	w9p28
1064	Laughing Clowns	NULL	NULL	9d3nv
1065	Laugmentasian	NULL	NULL	d6mq4
1066	L'Augmentation	NULL	NULL	6x25c
1067	Laura & Ballboy	NULL	NULL	xpn8r
1068	Laura Cantrell	NULL	NULL	p3qvh
1069	Laura Logic	NULL	NULL	3m54z
1070	Laurel Aitken	NULL	NULL	m28cg
1071	Laurel And Hardy	NULL	NULL	2nvrj
1072	Laurent Garnier	NULL	NULL	nq4hf
1073	Laurie Anderson	NULL	NULL	q5czb
1074	Leatherface	NULL	NULL	58rgw
1075	Led Zeppelin	NULL	NULL	8vhj9
1076	Leftfield	NULL	NULL	v4zfd
1077	Legendary Stardust Cowboy	NULL	NULL	4cgb6
1078	Leisure Process	NULL	NULL	crjwx
1079	Lene Lovich	NULL	NULL	rhf9p
1080	Leo Kottke	NULL	NULL	hzbd3
1081	Leonard Cohen	NULL	NULL	zgw6m
1082	Leopards	NULL	NULL	gfdpn
1083	Les Tetes Brulees	NULL	NULL	jb63q
1084	Les Thugs	NULL	NULL	fwxm5
1085	Levellers 5	NULL	NULL	b9p28
1086	LFO	NULL	NULL	wd3nv
1087	Lianne Hall	NULL	NULL	96mq4
1088	Liars	NULL	NULL	dx25c
1089	Liberator DJs	NULL	NULL	6pn8r
1090	Lift To Experience	NULL	NULL	x3qvh
1091	Ligament	NULL	NULL	pm54z
1092	Liggers	NULL	NULL	328cg
1093	Light	NULL	NULL	mnvrj
1094	Lillian	NULL	NULL	2q4hf
1095	Lindisfarne	NULL	NULL	n5czb
1096	Linton Kwesi Johnson	NULL	NULL	q8rgw
1097	Listen With Sarah	NULL	NULL	5vhj9
1098	Little Feat	NULL	NULL	84zfd
1099	Little George	NULL	NULL	vcgb6
1100	Little Killers	NULL	NULL	4rjwx
1101	Little Red Duffle Coats	NULL	NULL	chf9p
1102	Live Skull	NULL	NULL	rzbd3
1103	Livingstone	NULL	NULL	hgw6m
1104	Llwybr Llaethog	NULL	NULL	zj9x2
1105	Lo Fi Generator	NULL	NULL	gb63q
1106	Locus	NULL	NULL	jwxm5
1107	Locust	NULL	NULL	f9p28
1108	Lois	NULL	NULL	bd3nv
1109	Lol Coxhill	NULL	NULL	w6mq4
1110	Lolita Storm	NULL	NULL	9x25c
1111	Lone Star	NULL	NULL	dpn8r
1112	Long Fin Killie	NULL	NULL	63qvh
1113	Lonnie Donegan	NULL	NULL	xm54z
1114	Loop	NULL	NULL	p28cg
1115	Loop Guru	NULL	NULL	3nvrj
1116	Lorimer	NULL	NULL	mq4hf
1117	Lotus Eaters	NULL	NULL	25czb
1118	Loudon Wainwright III	NULL	NULL	n8rgw
1119	Loudspeaker	NULL	NULL	qvhj9
1120	Lousiana Red	NULL	NULL	54zfd
1121	Love And Money	NULL	NULL	8cgb6
1122	Love Blobs	NULL	NULL	vrjwx
1123	Love Child	NULL	NULL	4hf9p
1124	Love Cup	NULL	NULL	czbd3
1125	Love Is All	NULL	NULL	rgw6m
1126	Love Junk	NULL	NULL	hj9x2
1127	Love Sculpture	NULL	NULL	zfdpn
1128	Loves	NULL	NULL	gwxm5
1129	Low	NULL	NULL	j9p28
1130	LSG	NULL	NULL	fd3nv
1131	Lucys	NULL	NULL	b6mq4
1132	Ludus	NULL	NULL	wx25c
1133	Luggage	NULL	NULL	9pn8r
1134	Luke Slater's 7th Plain	NULL	NULL	d3qvh
1135	Luke Vibert	NULL	NULL	6m54z
1136	Luna	NULL	NULL	x28cg
1137	Lunachicks	NULL	NULL	pnvrj
1138	Lung Leg	NULL	NULL	3q4hf
1139	Lupine Howl	NULL	NULL	m5czb
1140	Lurkers	NULL	NULL	28rgw
1141	Luscious Jackson	NULL	NULL	nvhj9
1142	Lush	NULL	NULL	q4zfd
1143	Lynyrd Skynyrd	NULL	NULL	5cgb6
1144	M. C. Duke	NULL	NULL	8rjwx
1145	M.A.S.S.	NULL	NULL	vhf9p
1146	M/A/R/R/S	NULL	NULL	4zbd3
1147	Mabel Greer's Toyshop	NULL	NULL	cgw6m
1148	Mackenzies	NULL	NULL	rj9x2
1149	Macrocosmica	NULL	NULL	hfdpn
1150	Mad Professor	NULL	NULL	zb63q
1151	Madder Rose	NULL	NULL	g9p28
1152	Maddy Prior	NULL	NULL	jd3nv
1153	Madness	NULL	NULL	f6mq4
1154	Magazine	NULL	NULL	bx25c
1155	Magic Band	NULL	NULL	wpn8r
1156	Magic Dirt	NULL	NULL	93qvh
1157	Magic Hour	NULL	NULL	dm54z
1158	Magma	NULL	NULL	628cg
1159	Magnapop	NULL	NULL	xnvrj
1160	Magnetophone	NULL	NULL	pq4hf
1161	Magoo	NULL	NULL	35czb
1162	Maher Shalal Hash Baz	NULL	NULL	m8rgw
1163	Make Up	NULL	NULL	2vhj9
1164	Malaria	NULL	NULL	n4zfd
1165	Maldwyn Pope	NULL	NULL	qcgb6
1166	Male Nurse	NULL	NULL	5rjwx
1167	Man	NULL	NULL	8hf9p
1168	Man Or Astroman	NULL	NULL	vzbd3
1169	Manfred Mann	NULL	NULL	4gw6m
1170	Mangrove Steel Band	NULL	NULL	cj9x2
1171	Manic Street Preachers	NULL	NULL	rfdpn
1172	Manson	NULL	NULL	hb63q
1173	Mansun	NULL	NULL	zwxm5
1174	Manuvers	NULL	NULL	gd3nv
1175	Marc & The Mambas	NULL	NULL	j6mq4
1176	Marc Riley And The Creepers	NULL	NULL	fx25c
1177	March Violets	NULL	NULL	bpn8r
1178	Marina Van Rooy	NULL	NULL	w3qvh
1179	Marine Girls	NULL	NULL	9m54z
1180	Marine Research	NULL	NULL	d28cg
1181	Mark E Smith Vs Safe & Sound	NULL	NULL	6nvrj
1182	Mark Eitzel & Peter Buck	NULL	NULL	xq4hf
1183	Marlene Webber	NULL	NULL	p5czb
1184	Marlowe	NULL	NULL	38rgw
1185	Marta Sebestyen	NULL	NULL	mvhj9
1186	Martian Dance	NULL	NULL	24zfd
1187	Martin Carthy	NULL	NULL	ncgb6
1188	Martin Simpson	NULL	NULL	qrjwx
1189	Martyn Hare	NULL	NULL	5hf9p
1190	Marxman	NULL	NULL	8zbd3
1191	Masasu	NULL	NULL	vgw6m
1192	Masonna	NULL	NULL	4j9x2
1193	Mass	NULL	NULL	cfdpn
1194	Massive Attack	NULL	NULL	rb63q
1195	Matching Mole	NULL	NULL	hwxm5
1196	Matumbi	NULL	NULL	z9p28
1197	Max Merritt And The Meteors	NULL	NULL	g6mq4
1198	Max Tundra	NULL	NULL	jx25c
1199	Maxi Priest	NULL	NULL	fpn8r
1200	Maximum Joy	NULL	NULL	b3qvh
1201	Mazey Fade	NULL	NULL	wm54z
1202	Mazzy Star	NULL	NULL	928cg
1203	MC 900 Foot Jesus	NULL	NULL	dnvrj
